id,user_id,location_id,rating,comment,created_at
74,63,260,5,"A memorable place with good facilities and clear signage.",2024-07-07 10:34:00
75,76,289,5,"A memorable place with good facilities and clear signage.",2023-10-12 17:45:00
76,89,24,5,"Nice place, we enjoyed our visit.",2025-01-17 12:56:00
77,2,34,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-04-22 19:07:00
78,15,63,5,"Great flavors, though the wait can be long during peak hours.",2023-07-27 14:18:00
79,28,92,4,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-10-04 09:29:00
80,41,121,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-01-09 16:40:00
81,54,150,4,"Great flavors, though the wait can be long during peak hours.",2023-04-14 11:51:00
82,67,179,4,"Fresh ingredients and nice presentation. Will come back for more.",2025-07-19 18:02:00
83,80,208,3,"Fresh ingredients and nice presentation. Will come back for more.",2024-10-24 13:13:00
84,93,237,3,"A memorable place with good facilities and clear signage.",2023-01-01 08:24:00
85,6,266,2,"Informative and well-maintained. Worth a visit if you are nearby.",2025-04-06 15:35:00
86,19,295,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-07-11 10:46:00
87,32,167,5,"Pleasant experience overall — would recommend to others.",2023-10-16 17:57:00
88,45,40,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-01-21 12:08:00
89,58,69,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-04-26 19:19:00
90,71,98,5,"Large mall with many options and a clean environment.",2023-07-03 14:30:00
91,84,127,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-10-08 09:41:00
92,97,156,5,"Fresh ingredients and nice presentation. Will come back for more.",2024-01-13 16:52:00
93,10,185,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-04-18 11:03:00
94,23,214,4,"A memorable place with good facilities and clear signage.",2025-07-23 18:14:00
95,36,243,4,"A memorable place with good facilities and clear signage.",2024-10-28 13:25:00
96,49,272,4,"Beautiful spot with interesting features — great for photos.",2023-01-05 08:36:00
97,62,301,3,"A memorable place with good facilities and clear signage.",2025-04-10 15:47:00
98,75,23,3,"Nice place, we enjoyed our visit.",2024-07-15 10:58:00
99,88,46,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-10-20 17:09:00
100,1,75,5,"Large mall with many options and a clean environment.",2025-01-25 12:20:00
101,14,104,5,"Large mall with many options and a clean environment.",2024-04-02 19:31:00
102,27,133,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-07-07 14:42:00
103,40,162,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-10-12 09:53:00
104,53,191,5,"Fresh ingredients and nice presentation. Will come back for more.",2024-01-17 16:04:00
105,66,220,5,"Beautiful spot with interesting features — great for photos.",2023-04-22 11:15:00
106,79,249,5,"Informative and well-maintained. Worth a visit if you are nearby.",2025-07-27 18:26:00
107,92,278,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-10-04 13:37:00
108,5,3,4,"Super fun and full of activities. Great for groups and kids.",2023-01-09 08:48:00
109,18,125,4,"Super fun and full of activities. Great for groups and kids.",2025-04-14 15:59:00
110,31,52,4,"Tasty dishes with good balance. A pleasant dining experience.",2024-07-19 10:10:00
111,44,81,3,"Large mall with many options and a clean environment.",2023-10-24 17:21:00
112,57,110,3,"Large mall with many options and a clean environment.",2025-01-01 12:32:00
113,70,139,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-04-06 19:43:00
114,83,168,4,"Tasty dishes with good balance. A pleasant dining experience.",2023-07-11 14:54:00
115,96,197,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-10-16 09:05:00
116,9,226,5,"Beautiful spot with interesting features — great for photos.",2024-01-21 16:16:00
117,22,255,5,"Informative and well-maintained. Worth a visit if you are nearby.",2023-04-26 11:27:00
118,35,284,5,"A memorable place with good facilities and clear signage.",2025-07-03 18:38:00
119,48,9,5,"A lively place with many attractions. Expect crowds on weekends.",2024-10-08 13:49:00
120,61,167,5,"Pleasant experience overall — would recommend to others.",2023-01-13 08:00:00
121,74,58,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-04-18 15:11:00
122,87,87,4,"Large mall with many options and a clean environment.",2024-07-23 10:22:00
123,100,116,4,"Great flavors, though the wait can be long during peak hours.",2023-10-28 17:33:00
124,13,145,4,"Tasty dishes with good balance. A pleasant dining experience.",2025-01-05 12:44:00
125,26,174,3,"Great flavors, though the wait can be long during peak hours.",2024-04-10 19:55:00
126,39,203,3,"Great flavors, though the wait can be long during peak hours.",2023-07-15 14:06:00
127,52,232,3,"Informative and well-maintained. Worth a visit if you are nearby.",2025-10-20 09:17:00
128,65,261,2,"Informative and well-maintained. Worth a visit if you are nearby.",2024-01-25 16:28:00
129,78,290,5,"Beautiful spot with interesting features — great for photos.",2023-04-02 11:39:00
130,91,14,5,"A lively place with many attractions. Expect crowds on weekends.",2025-07-07 18:50:00
131,4,35,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-10-12 13:01:00
132,17,64,5,"Great flavors, though the wait can be long during peak hours.",2023-01-17 08:12:00
133,30,93,5,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-04-22 15:23:00
134,43,122,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-07-27 10:34:00
135,56,151,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-10-04 17:45:00
136,69,180,4,"Tasty dishes with good balance. A pleasant dining experience.",2025-01-09 12:56:00
137,82,209,4,"Tasty dishes with good balance. A pleasant dining experience.",2024-04-14 19:07:00
138,95,238,4,"A memorable place with good facilities and clear signage.",2023-07-19 14:18:00
139,8,267,4,"Beautiful spot with interesting features — great for photos.",2025-10-24 09:29:00
140,21,296,3,"Informative and well-maintained. Worth a visit if you are nearby.",2024-01-01 16:40:00
141,34,19,3,"A lively place with many attractions. Expect crowds on weekends.",2023-04-06 11:51:00
142,47,41,4,"Tasty dishes with good balance. A pleasant dining experience.",2025-07-11 18:02:00
143,60,70,5,"Fresh ingredients and nice presentation. Will come back for more.",2024-10-16 13:13:00
144,73,99,5,"Large mall with many options and a clean environment.",2023-01-21 08:24:00
145,86,128,5,"Fresh ingredients and nice presentation. Will come back for more.",2025-04-26 15:35:00
146,99,157,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-07-03 10:46:00
147,12,186,5,"Great flavors, though the wait can be long during peak hours.",2023-10-08 17:57:00
148,25,215,5,"Informative and well-maintained. Worth a visit if you are nearby.",2025-01-13 12:08:00
149,38,244,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-04-18 19:19:00
150,51,273,4,"Beautiful spot with interesting features — great for photos.",2023-07-23 14:30:00
151,64,302,4,"A memorable place with good facilities and clear signage.",2025-10-28 09:41:00
152,77,144,4,"mystery",289000
153,90,47,4,"Great flavors, though the wait can be long during peak hours.",2023-04-10 11:03:00
154,3,76,3,"Large mall with many options and a clean environment.",2025-07-15 18:14:00
155,16,105,3,"Large mall with many options and a clean environment.",2024-10-20 13:25:00
156,29,134,4,"Fresh ingredients and nice presentation. Will come back for more.",2023-01-25 08:36:00
157,42,163,4,"Fresh ingredients and nice presentation. Will come back for more.",2025-04-02 15:47:00
158,55,192,5,"Great flavors, though the wait can be long during peak hours.",2024-07-07 10:58:00
159,68,221,5,"A memorable place with good facilities and clear signage.",2023-10-12 17:09:00
160,81,250,5,"A memorable place with good facilities and clear signage.",2025-01-17 12:20:00
161,94,279,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-04-22 19:31:00
162,7,4,5,"Super fun and full of activities. Great for groups and kids.",2023-07-27 14:42:00
163,20,27,5,"Super fun and full of activities. Great for groups and kids.",2025-10-04 09:53:00
164,33,53,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-01-09 16:04:00
165,46,82,4,"Large mall with many options and a clean environment.",2023-04-14 11:15:00
166,59,111,4,"Great flavors, though the wait can be long during peak hours.",2025-07-19 18:26:00
167,72,140,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-10-24 13:37:00
168,85,169,3,"Fresh ingredients and nice presentation. Will come back for more.",2023-01-01 08:48:00
169,98,198,3,"Fresh ingredients and nice presentation. Will come back for more.",2025-04-06 15:59:00
170,11,227,4,"A memorable place with good facilities and clear signage.",2024-07-11 10:10:00
171,24,256,1,"Informative and well-maintained. Worth a visit if you are nearby.",2023-10-16 17:21:00
172,37,285,5,"A memorable place with good facilities and clear signage.",2025-01-21 12:32:00
173,50,10,5,"A lively place with many attractions. Expect crowds on weekends.",2024-04-26 19:43:00
174,63,31,5,"A lively place with many attractions. Expect crowds on weekends.",2023-07-03 14:54:00
175,76,59,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-10-08 09:05:00
176,89,88,5,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2024-01-13 16:16:00
177,2,117,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-04-18 11:27:00
178,15,146,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-07-23 18:38:00
179,28,175,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-10-28 13:49:00
180,41,204,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-01-05 08:00:00
181,54,233,4,"Beautiful spot with interesting features — great for photos.",2025-04-10 15:11:00
182,67,262,4,"Informative and well-maintained. Worth a visit if you are nearby.",2024-07-15 10:22:00
183,80,291,3,"Beautiful spot with interesting features — great for photos.",2023-10-20 17:33:00
184,93,15,3,"A lively place with many attractions. Expect crowds on weekends.",2025-01-25 12:44:00
185,6,36,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-04-02 19:55:00
186,19,65,5,"Great flavors, though the wait can be long during peak hours.",2023-07-07 14:06:00
187,32,94,5,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-10-12 09:17:00
188,45,123,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-01-17 16:28:00
189,58,152,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-04-22 11:39:00
190,71,181,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-07-27 18:50:00
191,84,210,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-10-04 13:01:00
192,97,239,5,"Beautiful spot with interesting features — great for photos.",2023-01-09 08:12:00
193,10,268,4,"A memorable place with good facilities and clear signage.",2025-04-14 15:23:00
194,23,297,4,"A memorable place with good facilities and clear signage.",2024-07-19 10:34:00
195,36,20,4,"Pleasant experience overall — would recommend to others.",2023-10-24 17:45:00
196,49,42,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-01-01 12:56:00
197,62,71,3,"Fresh ingredients and nice presentation. Will come back for more.",2024-04-06 19:07:00
198,75,100,3,"Large mall with many options and a clean environment.",2023-07-11 14:18:00
199,88,129,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-10-16 09:29:00
200,1,158,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-01-21 16:40:00
201,14,187,5,"Great flavors, though the wait can be long during peak hours.",2023-04-26 11:51:00
202,27,216,5,"Informative and well-maintained. Worth a visit if you are nearby.",2025-07-03 18:02:00
203,40,245,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-10-08 13:13:00
204,53,274,5,"A memorable place with good facilities and clear signage.",2023-01-13 08:24:00
205,66,303,5,"A memorable place with good facilities and clear signage.",2025-04-18 15:35:00
206,79,24,5,"A lively place with many attractions. Expect crowds on weekends.",2024-07-23 10:46:00
207,92,48,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-10-28 17:57:00
208,5,77,4,"Large mall with many options and a clean environment.",2025-01-05 12:08:00
209,18,106,4,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2024-04-10 19:19:00
210,31,135,4,"Great flavors, though the wait can be long during peak hours.",2023-07-15 14:30:00
211,44,164,3,"Great flavors, though the wait can be long during peak hours.",2025-10-20 09:41:00
212,57,193,3,"Tasty dishes with good balance. A pleasant dining experience.",2024-01-25 16:52:00
213,70,222,4,"A memorable place with good facilities and clear signage.",2023-04-02 11:03:00
214,83,251,4,"Beautiful spot with interesting features — great for photos.",2025-07-07 18:14:00
215,96,280,5,"Beautiful spot with interesting features — great for photos.",2024-10-12 13:25:00
216,9,5,5,"Good facilities and friendly staff. Plenty to do for a full day.",2023-01-17 08:36:00
217,22,167,5,"Pleasant experience overall — would recommend to others.",2025-04-22 15:47:00
218,35,54,5,"Great flavors, though the wait can be long during peak hours.",2024-07-27 10:58:00
219,48,83,5,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2023-10-04 17:09:00
220,61,112,5,"Great flavors, though the wait can be long during peak hours.",2025-01-09 12:20:00
221,74,141,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-04-14 19:31:00
222,87,170,4,"Fresh ingredients and nice presentation. Will come back for more.",2023-07-19 14:42:00
223,100,199,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-10-24 09:53:00
224,13,228,4,"A memorable place with good facilities and clear signage.",2024-01-01 16:04:00
225,26,257,3,"A memorable place with good facilities and clear signage.",2023-04-06 11:15:00
226,39,286,3,"Informative and well-maintained. Worth a visit if you are nearby.",2025-07-11 18:26:00
227,52,11,3,"Super fun and full of activities. Great for groups and kids.",2024-10-16 13:37:00
228,65,24,4,"Nice place, we enjoyed our visit.",2023-01-21 08:48:00
229,78,60,5,"Great flavors, though the wait can be long during peak hours.",2025-04-26 15:59:00
230,91,89,5,"Large mall with many options and a clean environment.",2024-07-03 10:10:00
231,4,118,5,"Great flavors, though the wait can be long during peak hours.",2023-10-08 17:21:00
232,17,147,5,"Fresh ingredients and nice presentation. Will come back for more.",2025-01-13 12:32:00
233,30,176,5,"Fresh ingredients and nice presentation. Will come back for more.",2024-04-18 19:43:00
234,43,205,5,"Fresh ingredients and nice presentation. Will come back for more.",2023-07-23 14:54:00
235,56,234,5,"A memorable place with good facilities and clear signage.",2025-10-28 09:05:00
236,69,263,4,"Informative and well-maintained. Worth a visit if you are nearby.",2024-01-05 16:16:00
237,82,292,4,"A memorable place with good facilities and clear signage.",2023-04-10 11:27:00
238,95,16,4,"Good facilities and friendly staff. Plenty to do for a full day.",2025-07-15 18:38:00
239,8,37,4,"Great flavors, though the wait can be long during peak hours.",2024-10-20 13:49:00
240,21,66,3,"Tasty dishes with good balance. A pleasant dining experience.",2023-01-25 08:00:00
241,34,95,3,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-04-02 15:11:00
242,47,124,4,"Great flavors, though the wait can be long during peak hours.",2024-07-07 10:22:00
243,60,153,5,"Fresh ingredients and nice presentation. Will come back for more.",2023-10-12 17:33:00
244,73,182,5,"Fresh ingredients and nice presentation. Will come back for more.",2025-01-17 12:44:00
245,86,211,5,"Great flavors, though the wait can be long during peak hours.",2024-04-22 19:55:00
246,99,240,5,"Beautiful spot with interesting features — great for photos.",2023-07-27 14:06:00
247,12,269,5,"Informative and well-maintained. Worth a visit if you are nearby.",2025-10-04 09:17:00
248,25,298,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-01-09 16:28:00
249,38,219,4,"active",375000
250,51,43,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-07-19 18:50:00
251,64,72,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-10-24 13:01:00
252,77,101,4,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2023-01-01 08:12:00
253,90,130,4,"Fresh ingredients and nice presentation. Will come back for more.",2025-04-06 15:23:00
254,3,159,3,"Fresh ingredients and nice presentation. Will come back for more.",2024-07-11 10:34:00
255,16,188,3,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-10-16 17:45:00
256,29,217,4,"Beautiful spot with interesting features — great for photos.",2025-01-21 12:56:00
257,42,246,4,"Beautiful spot with interesting features — great for photos.",2024-04-26 19:07:00
258,55,275,5,"Beautiful spot with interesting features — great for photos.",2023-07-03 14:18:00
259,68,304,5,"A memorable place with good facilities and clear signage.",2025-10-08 09:29:00
260,81,276,5,"106.69273871056",55B Nguyễn Thị Minh Khai
261,94,49,5,"Great flavors, though the wait can be long during peak hours.",2023-04-18 11:51:00
262,7,78,5,"Large mall with many options and a clean environment.",2025-07-23 18:02:00
263,20,107,5,"Large mall with many options and a clean environment.",2024-10-28 13:13:00
264,33,136,5,"Great flavors, though the wait can be long during peak hours.",2023-01-05 08:24:00
265,46,165,4,"Tasty dishes with good balance. A pleasant dining experience.",2025-04-10 15:35:00
266,59,194,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-07-15 10:46:00
267,72,223,4,"A memorable place with good facilities and clear signage.",2023-10-20 17:57:00
268,85,252,3,"A memorable place with good facilities and clear signage.",2025-01-25 12:08:00
269,98,281,3,"Informative and well-maintained. Worth a visit if you are nearby.",2024-04-02 19:19:00
270,11,6,2,"A lively place with many attractions. Expect crowds on weekends.",2023-07-07 14:30:00
271,24,28,1,"A lively place with many attractions. Expect crowds on weekends.",2025-10-12 09:41:00
272,37,55,5,"Fresh ingredients and nice presentation. Will come back for more.",2024-01-17 16:52:00
273,50,84,5,"Large mall with many options and a clean environment.",2023-04-22 11:03:00
274,63,113,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-07-27 18:14:00
275,76,142,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-10-04 13:25:00
276,89,171,5,"Great flavors, though the wait can be long during peak hours.",2023-01-09 08:36:00
277,2,200,5,"Fresh ingredients and nice presentation. Will come back for more.",2025-04-14 15:47:00
278,15,229,5,"A memorable place with good facilities and clear signage.",2024-07-19 10:58:00
279,28,258,4,"Beautiful spot with interesting features — great for photos.",2023-10-24 17:09:00
280,41,287,4,"A memorable place with good facilities and clear signage.",2025-01-01 12:20:00
281,54,12,4,"Good facilities and friendly staff. Plenty to do for a full day.",2024-04-06 19:31:00
282,67,32,4,"Super fun and full of activities. Great for groups and kids.",2023-07-11 14:42:00
283,80,61,3,"Tasty dishes with good balance. A pleasant dining experience.",2025-10-16 09:53:00
284,93,90,3,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2024-01-21 16:04:00
285,6,119,4,"Fresh ingredients and nice presentation. Will come back for more.",2023-04-26 11:15:00
286,19,148,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-07-03 18:26:00
287,32,177,5,"Great flavors, though the wait can be long during peak hours.",2024-10-08 13:37:00
288,45,206,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-01-13 08:48:00
289,58,235,5,"Beautiful spot with interesting features — great for photos.",2025-04-18 15:59:00
290,71,264,5,"Beautiful spot with interesting features — great for photos.",2024-07-23 10:10:00
291,84,293,5,"Informative and well-maintained. Worth a visit if you are nearby.",2023-10-28 17:21:00
292,97,17,5,"A lively place with many attractions. Expect crowds on weekends.",2025-01-05 12:32:00
293,10,38,4,"Fresh ingredients and nice presentation. Will come back for more.",2024-04-10 19:43:00
294,23,67,4,"Great flavors, though the wait can be long during peak hours.",2023-07-15 14:54:00
295,36,96,4,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-10-20 09:05:00
296,49,125,4,"Tasty dishes with good balance. A pleasant dining experience.",2024-01-25 16:16:00
297,62,154,3,"Tasty dishes with good balance. A pleasant dining experience.",2023-04-02 11:27:00
298,75,183,3,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-07-07 18:38:00
299,88,212,4,"Beautiful spot with interesting features — great for photos.",2024-10-12 13:49:00
300,1,241,5,"A memorable place with good facilities and clear signage.",2023-01-17 08:00:00
301,14,270,5,"A memorable place with good facilities and clear signage.",2025-04-22 15:11:00
302,27,299,5,"Beautiful spot with interesting features — great for photos.",2024-07-27 10:22:00
303,40,21,5,"Good facilities and friendly staff. Plenty to do for a full day.",2023-10-04 17:33:00
304,53,44,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-01-09 12:44:00
305,66,73,5,"Great flavors, though the wait can be long during peak hours.",2024-04-14 19:55:00
306,79,102,5,"Large mall with many options and a clean environment.",2023-07-19 14:06:00
307,92,131,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-10-24 09:17:00
308,5,160,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-01-01 16:28:00
309,18,189,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-04-06 11:39:00
310,31,218,4,"Informative and well-maintained. Worth a visit if you are nearby.",2025-07-11 18:50:00
311,44,247,3,"A memorable place with good facilities and clear signage.",2024-10-16 13:01:00
312,57,276,3,"A memorable place with good facilities and clear signage.",2023-01-21 08:12:00
313,70,1,4,"Good facilities and friendly staff. Plenty to do for a full day.",2025-04-26 15:23:00
314,83,25,1,"A lively place with many attractions. Expect crowds on weekends.",2024-07-03 10:34:00
315,96,50,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-10-08 17:45:00
316,9,79,5,"Large mall with many options and a clean environment.",2025-01-13 12:56:00
317,22,108,5,"Large mall with many options and a clean environment.",2024-04-18 19:07:00
318,35,137,5,"Fresh ingredients and nice presentation. Will come back for more.",2023-07-23 14:18:00
319,48,166,5,"Fresh ingredients and nice presentation. Will come back for more.",2025-10-28 09:29:00
320,61,195,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-01-05 16:40:00
321,74,224,5,"Beautiful spot with interesting features — great for photos.",2023-04-10 11:51:00
322,87,253,4,"A memorable place with good facilities and clear signage.",2025-07-15 18:02:00
323,100,282,4,"A memorable place with good facilities and clear signage.",2024-10-20 13:13:00
