name,tag,avg_cost,description,lat,lon,address,opening_hours,image_url1,image_url2,rating,reviews,extra_website
Pandan Leaf Saigon Restaurant & Rooftop Bar,vietnamese,300000,Vietnamese cuisine with view from rooftop bar,10.76974376637028,106.69578880958335,107 Phạm Ngũ Lão P. Bến Thành Q1,9:00-23:00,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c5/94/77/cute-facade-of-pandan.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/70/a2/bb/caption.jpg?h=1200&s=1&w=1200,4.9,3550,
Cyclo Resto,vietnamese,200000,Vietnamese food in a charming colonial-style building,10.7733945225158,106.6939941384193,133 Nguyễn Du P. Bến Thành Q1,9:00-22:00,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a7/62/83/cyclo-resto-company-limited.jpg?h=-1&s=1&w=500,https://cycloresto.vn/wp-content/uploads/2022/06/cyclo-resto-restaurant-in-ho-chi-minh-city-banner-2-1200x800.jpg,4.7,1700,
Vị Sài Gòn Restaurant & Café,vietnamese,200000,Stylish Vietnamese dishes + café setting,10.777304579349503,106.68853252307557,254 Bis Nguyễn Đình Chiểu P. Võ Thị Sáu Q3,10:00-22:00,https://visaigon.com.vn/wp-content/uploads/2024/04/1712682112.jpeg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/60/d2/2a/welcome-to-v-sai-gon.jpg?h=500&s=1&w=900,4.7,1542,
Poke Saigon,casual dining,180000,Hawaiian poke bowls in the heart of Saigon,10.774306243732962,106.70401689423959,"42 Nguyễn Huệ, Bến Nghé, Q1",10:00-22:30,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/4e/6b/96/our-salmon-poke-bowl.jpg?h=500&s=1&w=900,https://www.vibrantlyvietnam.com/wp-content/uploads/2019/07/poke-saigon-restaurant-review-ho-chi-minh-vietnam-poke-bar-2.jpg,4.8,2322,
Tanaka Tei,japanese,300000,Sophisticated Japanese dining with authentic flavours,10.800988297346295,106.6434650249274,5 Bàu Bàng P.13 Q.Tân Bìn,11:00-14:00,https://static.wixstatic.com/media/e43838_98b08af8ef2743a9a9f470115031535a~mv2.jpg,https://mms.img.susercontent.com/vn-11134513-7r98o-lsvgeehr129wb1%40resize_ss1242x600%21%40crop_w1242_h600_cT,4.4,566,
Home Saigon Restaurant,casual dining,300000,Modern Vietnamese fine-casual in a colonial villa,10.783936901761455,106.68963562687844,216/4 Điện Biên Phủ P. Võ Thị Sáu Q3,10:00-21:00,https://homesaigon.info/f/634546cf1fbb14c2a8abc986dba3da6e-DIM2_30102022_113_cb8306.jpg,https://homevietnameserestaurants.com/wp-content/uploads/2023/09/HOME-Saigon-1st-floor-Interior-scaled.jpg,4.8,1615,
Cục gạch quán,vietnamese,200000,Classic Vietnamese dishes in a nostalgic vintage house,10.793191777803097,106.68905181143514,10 Đặng Tất (Trần Nhật Duật) Q3,9:00-23:00,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/adf4f51d94be4a2a943e839f6479bdaa.jpeg?h=300&org_if_sml=1&w=300,https://live2makan.com/wp-content/uploads/2022/09/l2m-vn-2207-cucgachquan-16.jpg,4.3,3985,
ANAN Saigon,vietnamese,1000000,New Vietnamese tasting menu from a top chef,10.771981944223102,106.7027964365677,89 Tôn Thất Đạm Bến Nghé,17:00-23:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzB3TbJFLswU7BxiJIv3hEh1PgmNiu8-KeUk3Lc6vsDJLR6dGIySSkUM9JtslDd4X7qNNgPv0cqHKG99P6aNrX_tpOdUQ3sOg7XZg6DfOBZbwfxo0W6urTsHxbWwAwrOk9mSnil1IlyuPY=w224-h224-p-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6UOvpok3GAb_NhymOxIhpkzBDRpmkklWNmy9TEyzw-HXcwiYUpOV-vBZP0ZvYb-n2ZTsNVOMJ0ZBlRTdFvL_oTUCvvfpohdFx098EKXyojoi6cIoWvmGbmiNtXL0dwHNdb2ePaQ=w408-h544-k-no,4,2066,
Lẩu Bò Hồ Bá Kiện,vietnamese,150000,"Vietnamese beef hot-pot, casual local style",10.783596694547713,106.66639992847527,162/3 Hồ Bá Kiện Q10,15:30-23:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9AKL9SQYRE1rvA9gvkMwCnlcvyEBLor5LknUqF1caKrbMeVS_n-OIGO3Lr_TbhYe70-Anl3jx9o0BR0IG01BFw-fNFZqkljmQeujyKTKnjasL77bjKENI-sKRYNh2NUie9Bl0=w426-h240-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzqkd-ZFtDgz77SiDo2qc1pgVzLGFDruhWP3-jRV3_LssFVXJ1i-LGAQ28bEF8JmPl147IIFV4U-FL1BSG7jf6HVYW86Tnvy28fHaym_dJ1MiVNL59gmCSBxCLw5_vnE4RhuFY=w224-h224-p-k-no,3.9,822,
Tung Garden ,chinese,500000,Cantonese fine dining in a sophisticated setting,10.796494123588182,106.67315723841953,253 Đ. Nguyễn Văn Trỗi Phú Nhuận,10:00-21:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzg7I8B56z4CML5BMpnHUb_TIVEonUEnL5MpHUJo15w4g06HoBLhvEp5aEm1fCpEASYkwAWsS8zdV_QAnXXvHs6k0ESHKR7N08FHFSoBxQ8k8-iZ6etewfRx9-PPKfIicR-V3nNg=w224-h224-p-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJ0vpzjBzrsRV2BBxdOPiB3iH3mlUZxONa2zkvcLvVq-pIW5bpWvt_f7ODxMacsWdyzwcFWgaVvSmNlmCCfdvqhIv3o-nK3Uo1Goj7xXpAOMjFmLu4RJn3g3pe-dKQpiafcU2I=w224-h398-k-no,4.4,322,
Tre Eatery & Bar,Fusion,100000,"Known for signature dishes and local flavors, offering consistently flavorful dining.",10.788836367070138,106.70228008650713,"12J Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000",17:00-23:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkew-OhEqdcuqDXjZnKiu5vBhPKMSkBGFxwJ4bU7n9RQAR2hs7lR9SWKSaWSiS4Nywbxh2i3b9wlTTcbIbHFQtzMmDQYjCEW24AR1eJtsGPjHSNsQrTCM9rXlS-GUgut7t1kZo2w=w408-h306-k-no,https://lh3.googleusercontent.com/p/AF1QipNlaWfDS62JyJYujNzFqx6MHX1VohEQ1-8SpGTk=w453-h240-k-no,4.9,51,
Laang SaiGon Central,Vietnamese,200000,Vietnamese dishes meets herbal flavors in dishes crafted to satisfy every guest.,10.781497279839012,106.70629859814844,"18 Ngô Văn Năm, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000",7:00-23:00,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/p/AF1QipN9q9_eCTiZ0DLgK4ULPRN2klG-mPNwZ4L98Opk=w408-h408-k-no,https://lh3.googleusercontent.com/p/AF1QipNnffFAb_Z5i80jLNI3RKpZXLSEQVH1SieDDydD=w408-h272-k-no,4.5,287,https://laangsaigon.com/
Anatolia Turkish Cuisine - Halal Food in Saigon,Halal,100000,"halal dishes combined with Middle Eastern spices to create satisfying, memorable meals.",10.775211483911166,106.70083041904287,"65 pasteur entry, 63/13 and 65 Pasteur, Ho Chi Minh City, District 1, VN",11:00-23:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyujCSbhYc2F-9u5Ypl68Te8c1DkY2Zfs1n6nIpN7G4KBocIXwJK817hxMJr8Zmu9dGzYghkDtv9iDlOTVs1_Cb10JHjYxwZuhQw8U0bqUYascn_rUB4YNi39VPip6_POsr_Q0yZXlKPN_G=w408-h544-k-no,https://lh3.googleusercontent.com/p/AF1QipN8lmOlRYi5ofwGP6zKi85JeJG_V_Fw3G-VJUfG=w408-h306-k-no,4.7,1018,https://anatolia.vn/
The Shed,Casual dining,200000,Guests enjoy signature dishes paired with local flavors in every dish.,10.778456381809297,106.69856671719288,"178 Pasteur, Ho Chi Minh City, District 1, VN",8:00-0:00,https://lh3.googleusercontent.com/p/AF1QipOE1LxG_qyxP2Kl4NtrxCtNNFkBlDaZcLCQ6ezw=w408-h272-k-no,https://lh3.googleusercontent.com/p/AF1QipPIbEr58QHYiI_h3yK03xXKeq1l6wqPhyXbSHsd=w408-h272-k-no,5,104,http://shedhcm.com/
Secretwines Shop and Restaurant,French,450000,French cuisine prepared with buttery sauces and served with elegant flavors.,10.790396887219842,106.71094691534286,"70 Phạm Viết Chánh, Ho Chi Minh City, Bình Thạnh, VN",16:30-23:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwQXszh8HCGabmNCpiGjI3sckpwbNkSd_edU97L5qpWXQv7wj41WFMe8XMsoIuWW92_rDxrNj9V3glOuGrpAiRl7PJsQYDw82Zd2gdivVLty_PFMUwZlL9YAyURp-dNWuJPZ6Ua=w408-h306-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBadvL2Gt0jFHcFG-GGRU7a-ioHt02eVJ8g1ARE9LSe1_v8LHE2H5tiyIpUvSYWoIHLuNFnE52L67muyLwSX3NKe3bZeQ_vXQMSIqSCx7k1VA8UuX1p-tqeJ2PCbBxGZVYpFqH0w=w408-h544-k-no,5,46,https://secretwines.vn/
Umeshi & Sake,Japanese,250000,Serving Japanese dishes alongside umami flavors for a comforting dining experience.,10.780483241006586,106.70465218465712,"15 B10 Lê Thánh Tôn, Ho Chi Minh City, District 1, VN",11:00-23:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxoEKsDjXLLzRm2Mn7wSDexJ9uajG21FIy6Pky367YqQsXHlBW5ESVJceBGseDmYuD1fIj7Gqjg8CgGIBNX-PD9wK8Rn9nTxfbYXMrRHF_0QnhirlHG_QWSD8qBIUiAWSffCjONYQ=w408-h544-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOyfDjzjw_HwwUGTNLbrtzOXyrRzNxd1uUhJNXc4vSFI2ykJEj6rL5hNuG5rXc4G2HL2ZkN7wHKaLrI_zMSX6QjYNN02F2WsZ6jCZNrs9IoBUdVAqPKqbNrY1usk_t2g9PeGE3oQ=w426-h240-k-no,5,6,
Pizza 4P’s Lê Thánh Tôn,Pizza,200000,artisan pizza prepared with wood-fired crust and served with creamy cheese.,10.782058240041142,106.70532209020715,"Lê Thánh Tôn, Ho Chi Minh City, District 1, VN",11:00-23:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSym2XjFynd3u6frAfi3vfifF729Rhs5L58viLmRvbYLaeUI-qrgk7n6i1fen-BBznW6WxSGQs7YW0PACHDn_0V347MR1Kmj23OY1c4osaaB4zUSjKR0kBOiL5rQCX5-AJAys6Y=w426-h240-k-no,https://lh3.googleusercontent.com/p/AF1QipND6H4yexppN3bV54HT78nzeYyUfAtLfmq3nHM=w408-h272-k-no,4.8,18298,http://pizza4ps.com/
BARB WIRE SAIGON,Casual dining,150000,"signature dishes combined with local flavors to create satisfying, memorable meals.",10.777230384590094,106.70429411904286,"95 Hai Bà Trưng, Ho Chi Minh City, District 1, VN",18:00-4:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTS7gVL11ns9LEPW6ZknAh2IeYhirxIY3bPYirT3ZTeVWdIIFg23_3nlmZd-2duWnDczkMSvjFk68b62tbx1o89Rmbq18ki2OH3OFQL8yXN-HiL9oacU56EFya7-gg_LDLu67D=w408-h310-k-no,https://lh3.googleusercontent.com/p/AF1QipOOEQdQHPZOG30FSaa-FUih9D1-qahuCZVrF871=w408-h306-k-no,4.8,106,http://www.facebook.com/barbwiresg
Mustard The Indian Bistro,Indian,300000,Guests enjoy Indian curries paired with aromatic spices in every dish.,10.778821567481398,106.70304039205716,"76 Hai Bà Trưng (Mặt trước), Quận 1, Hồ Chí Minh Balcony:, Mặt sau, view balcony, 62 Lê Thánh Tôn, VN",8:00-22:45,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxG7KqGTEsumdVEfKUr8F2jaNsbrKwQEt9StPsVpmgrAdxKfkjuzwsSxqmnz8YlLtaEaH5yj3JN9LY0X_nPChdHUHhW3fJCAa8US-7AuuODIQVkomcsPC6t8CnyikIzcPc8TPWuTax4cCo=w408-h306-k-no,https://lh3.googleusercontent.com/p/AF1QipNYc9qlp1ceezD1eVKBt0VvFEToF5gFgL20-w4Q=w408-h271-k-no,4.9,45,
Pickles Eatery,Bistro,400000,Guests enjoy bistro plates paired with comfort cooking in every dish.,10.792534194549235,106.71052545157859,"83 Nguyễn Công Trứ, Ho Chi Minh City, Bình Thạnh, VN",16:30-23:30,https://lh3.googleusercontent.com/p/AF1QipMOnoXpUVZKpsF83ZXjuvLvUj8CXyaBntGqF0bl=w408-h408-k-no,https://lh3.googleusercontent.com/p/AF1QipNBZZ-2VuFdzpxBQ93Dg1ZdgicdmB-EuJf80VSD=w408-h272-k-no,4.7,569,https://campsite.bio/pickleseaterysaigon
Chuck's Burgers PVC,Western,150000,"signature dishes combined with local flavors to create satisfying, memorable meals.",10.79029095670182,106.71079386322143,"46 Phạm Viết Chánh, Ho Chi Minh City, Bình Thạnh, VN",10:00-22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxW-wVUf9pRoveN0LtwsQdiPSmiOvjMvvqGEYj8ZVpdBTnY31kHnhFoEhuYVVyusWDQ6xow1wNgEFSsLqFWwhWMWeLzDjRBSA2TQan8IkNvVrBg4bbUsEOxPSCRAQki9Mo5B-Xd=w408-h306-k-no,https://lh3.googleusercontent.com/p/AF1QipOFnAYW6CNz-qreCcSkQKxHegvql8wrkhpOThtf=w408-h271-k-no,4.4,1499,http://www.cburgers.com/
NAMO Modern Italian & Grill,Western,2000000,"Known for grilled meats and smoky flavors, offering consistently flavorful dining.",10.774566624025827,106.70064725952143,"34 Lê Lợi, Ho Chi Minh City, District 1, VN",17:30-22:00,https://lh3.googleusercontent.com/p/AF1QipNfOU_CrpCMvhy36WKMFy9us8Nwxfj156nucw90=w408-h611-k-no,"https://www.google.com/maps/place/''NAMO+Modern+Italian+%26+Grill'/@10.7742304,106.7007017,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOoFq6RFhTshQPkLStay0QHETZ1qDSOGLgmr2Gl!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fp%2FAF1QipOoFq6RFhTshQPkLStay0QHETZ1qDSOGLgmr2Gl%3Dw86-h111-k-no!7i1078!8i1394!4m7!3m6!1s0x3174d5e8e60abeb7:0x5050ee9b973ade27!8m2!3d10.7743611!4d106.7005507!10e5!16s%2Fg%2F11wng4nv88?entry=ttu&g_ep=EgoyMDI1MTEyMC4xIKXMDSoASAFQAw%3D%3D#",4.8,136,http://namoitalian.com/
Food Trucks at Nexus Square,Casual dining,100000,signature dishes meets local flavors in dishes crafted to satisfy every guest.,10.77952062064339,106.7071231037,"3A Đ. Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh 700000, VN",10:00-14:30,https://lh3.googleusercontent.com/p/AF1QipMAzcKXncWo3U_p_cGKiNkUBVB7G9N0P3HIN2s6=w408-h612-k-no,"https://www.google.com/maps/place/Food+Trucks+at+Nexus+Square/@10.7793151,106.7069729,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgICjuoaolgE!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAG0ilSxufdTpsG63yfSfh7m0PRQcRPi2cNKlRvhKTYcyRZkFwjduZX64BxmIZPpH3YRfDfsSiI2K0CLjTwxoSMrjk3fKRXvQxJr9FZH3Hr17VsI3fNO0nRazMkTMSqDam_VSorJX59we-g%3Dw224-h398-k-no!7i2160!8i3840!4m9!3m8!1s0x31752fedb448cee7:0x772523743bdb75c7!8m2!3d10.7793151!4d106.7069729!10e5!14m1!1BCgIYIg!16s%2Fg%2F11vyy3_t3t?entry=ttu&g_ep=EgoyMDI1MTEyMC4xIKXMDSoASAFQAw%3D%3D#",5,11,https://www.instagram.com/nexusfoodtrucks/
Baba's Kitchen Indian Restaurant - Mac Thi Buoi,Indian,250000,"Indian curries combined with aromatic spices to create satisfying, memorable meals.",10.776263264319207,106.70523982698572,"4-6-8, Mạc Thị Bưởi, Ho Chi Minh City, District 1, VN",10:30–22:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxXUlT5Zwe-OBuCnNqpk-fX_iISx4F_FSfCSPUvymeyhyLytUE5EZNzfxL2xLo7avvJQ9BGJgBIT0T7GI1uz_q3rpq-Q0atdrelOzrGIm90pRhUdP6e4c6w26goxeENRlKenN1IbGWBtrfK=w408-h268-k-no,https://lh3.googleusercontent.com/p/AF1QipM-NgmBTt7TDqhy3M0TI7Z5IOgcKswtYSAx8G7A=w408-h306-k-no,5,977,https://babas.kitchen/
Soumaki - Your Healthy Food Soulmate - Lý Tự Trọng,Casual dining,150000,"healthy dishes combined with clean ingredients to create satisfying, memorable meals.",10.777402622089689,106.70008554232857,"42 Lý Tự Trọng, Ho Chi Minh City, District 1, VN",10:00–21:00,https://lh3.googleusercontent.com/p/AF1QipOQz-COLQVszmE9qZNiv7S0KeRcQA_ejyHBJ5n7=w408-h306-k-no,https://lh3.googleusercontent.com/p/AF1QipOsZutU_ziwP3zobHv24wJ9ya4mgP834KYwzCTU=w408-h544-k-no,4.9,3059,http://soumaki.com.vn/
"Gotcha Saigon-Burger,Doner kebab,Falafel, Bánh mì",Casual dining,100000,"Known for signature dishes and local flavors, offering consistently flavorful dining.",10.768542928600983,106.69319749629997,"267 Đề Thám, Ho Chi Minh City, District 1, VN",0:00-23:59,https://lh3.googleusercontent.com/p/AF1QipMMMpe8JCGO5_uurd6n6-lrn67aA5mWMB1HvUEG=w408-h271-k-no,https://lh3.googleusercontent.com/p/AF1QipN8gr_Mh9owu8RjAbt7h3dRUZXJ0R49elLTq-2P=w408-h725-k-no,4,254,http://gotchafeast.com/
Fortune Ivy,Chinese,200000,Chinese noodles prepared with wok-fried dishes and served with steamed dumplings.,10.790038761074676,106.71128243438574,"19R4, Đường Nguyễn Hữu Cảnh, Ho Chi Minh City, Bình Thạnh, VN",17:00–23:00,https://lh3.googleusercontent.com/p/AF1QipNSMBko5SRF8uhti3a2jNZ7FyDkcqWhEDbwwR1l=w408-h510-k-no,https://lh3.googleusercontent.com/p/AF1QipOMSqkcivvaF-Zejx0_HHv5gc-dOi0tpGEKZcTn=w408-h544-k-no,4.7,111,https://www.facebook.com/profile.php?id=61577108376408
KAKU IZAKAYA,Japanese,200000,"Focused on Japanese dishes and umami flavors, delivering rich authentic flavors.",10.780483901517071,106.70495919205716,"15B/12A Lê Thánh Tôn, Ho Chi Minh City, District 1, VN",17:00–02:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzuUechVp8GJmmcqQTbv4l3ZPVzUEvOtxObKig26Ti-YzBTn036sYu4FUL1z34Io5sHLw5PmdIevDn0df1Jz2bFyEAbUW6LKqDI0oXZi6U705YaXXUuL1qVm4wb47il2WmVkNO-=w408-h447-k-no,https://lh3.googleusercontent.com/p/AF1QipP9AMkWvSxjnCUIUxWrGO0qMdOOcEXnvNT_GL0N=w408-h396-k-no,4.8,146,
Clover Korean House Food,Korean,100000,Guests enjoy Korean BBQ paired with kimchi flavors in every dish.,10.791707621367141,106.69569930555,"4C Võ Thị Sáu, Ho Chi Minh City, District 1, VN",08:00–23:00,https://lh3.googleusercontent.com/p/AF1QipPxBEn39AxisCPPmfsXSXZ3hNTh5Te1YUn6P-o7=w426-h240-k-no,https://lh3.googleusercontent.com/p/AF1QipPXEoWNWgvxW5vwisb9tjscw5_9zjxDhjZ4PlfC=w408-h408-k-no,4.8,2968,
Mystika,Casual dining,100000,signature dishes prepared with local flavors and served with welcoming atmosphere.,10.791981973041443,106.69746534602858,"43 Đ. Nguyễn Văn Giai, Ho Chi Minh City, District 1, VN",10:00–01:00,https://lh3.googleusercontent.com/p/AF1QipNH3KIv_0XzLQhAnQj_q6BwV4cKf5R3BRoIQAer=w408-h544-k-no,https://lh3.googleusercontent.com/p/AF1QipOy1D6J0zoY8Ikx7sKlICaBvFo03I8TQe_ywrlp=w426-h240-k-no,5,43,http://www.mystikasaigon.com/
Curry-licious Indian Restaurant,Indian,200000,"Celebrated for Indian curries and aromatic spices, prepared with careful attention.",10.77701197377463,106.70378178095713,"9 Công trường Lam Sơn, Ho Chi Minh City, District 1, VN",12:00–23:30,https://lh3.googleusercontent.com/p/AF1QipMbtJLMV9xqOjBiCM4dOhQ9Utuah-1BbOUJBBZN=w408-h271-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwsWgIcYkhHxxfwpGPgq-CVX9Un_A06ukcTiJ5yRPk-NSrMoP__PpRfAE97U7CYYHDziI353IJjOLkLPJSt7yVI7-lHwTyVGv_o5sWScFcwNrLoT28nJuzEJDiacsh7cI9g7RO5-cSyXa2g=w408-h306-k-no,4.9,1098,
FUJIYAMA FOOD & BAR,japanese,200000,Japanese dishes meets umami flavors in dishes crafted to satisfy every guest.,10.790037300227375,106.71130142883571,"76e Phạm Viết Chánh, Ho Chi Minh City, Bình Thạnh, VN",20:00–02:00,https://lh3.googleusercontent.com/p/AF1QipOff8o5Nd4hwgNZKlx7mXj7B1E9a5ml8NVp9Z3S=w408-h306-k-no,https://lh3.googleusercontent.com/p/AF1QipNyQCWAji-Io9A506IjZZ5lvy98dAAXIUl3WaTU=w426-h240-k-no,4.9,33,
